Date,General Unemployment Rate,High School Unemployment Rate,Bachelor's Degree Unemployment Rate,Master's Degree Unemployment Rate,Real M2 Money Stock,Real GDP,Inflation Rate,Food and Drinking Places Retail Sales,Housing Prices,Medical Prices
2023-06-01,3.6,3.9,2.9,2.3,,,2.2,90804.0,136.25,547.832
2023-07-01,3.5,3.3,3.1,2.5,,,2.29,91371.0,136.83,546.959
2023-08-01,3.8,3.9,3.1,2.8,,,2.33,91692.0,137.52,547.354
2023-09-01,3.8,4.1,2.7,2.0,,,2.35,92979.0,138.21,548.158
2023-10-01,3.8,4.0,3.1,2.1,,,2.39,93381.0,138.38,549.491
2023-11-01,3.7,4.1,2.7,1.8,,,2.31,94672.0,139.1,552.182
2023-12-01,3.7,4.2,2.6,1.8,,,2.19,94526.0,139.55,554.295
2024-01-01,3.7,4.3,2.7,2.0,,,2.26,93710.0,140.88,556.811
2024-02-01,3.9,4.2,3.2,1.9,,,2.32,93799.0,141.38,556.668
2024-03-01,3.8,4.1,2.9,2.0,,,2.36,93678.0,141.74,559.368
2024-04-01,3.9,4.0,2.0,2.3,,,2.44,94223.0,141.55,561.86
2024-05-01,4.0,4.3,2.5,1.9,,,2.33,94575.0,141.92,564.732
2024-06-01,4.1,4.2,3.7,2.6,,,2.23,94831.0,,565.711
2015-01-01,,,,,,18666.621,,,,
2015-04-01,,,,,,18782.243,,,,
2015-07-01,,,,,,18857.418,,,,
2015-10-01,,,,,,18892.206,,,,
2016-01-01,,,,,,19001.69,,,,
2016-04-01,,,,,,19062.709,,,,
2016-07-01,,,,,,19197.938,,,,
2016-10-01,,,,,,19304.352,,,,
2017-01-01,,,,,,19398.343,,,,
2017-04-01,,,,,,19506.949,,,,
2017-07-01,,,,,,19660.766,,,,
2017-10-01,,,,,,19882.352,,,,
